human_ratings_template,,,,
source_sentence,model,variant,translation,human_rating
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4,v0,"Quella guerra ben fatta l' opera perché etc. E dall'altra parte, Aiace era un cavaliere franco e prode all' arma, di gran guisa, ma non era pieno di grande senno.",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4,v0,"crudeli, e di tutte le colpe prende vendetta, come dice la legge, ed a nessun cavaliere perdona che pecchi.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4,v0,"Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4,v0,"Se questo ti piace a tutti e se il tempo ha bisogno di Pompeo come cavaliere e non come compagno, non riterrò più i fati.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4,v0,"L'ufficio di questa arte sembra che sia detto appositamente per far credere, finché l'obiettivo è far credere per dire.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4,v0,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4,v0,"Ma chi spererebbe che, anche se questi non vogliono ancora credere in Cristo, già lo vedono con noi, e perché non possono negarlo, lo stridono con i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4,v0,I vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4,v0,"Acciocché che quel che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4,v0,Gli uomini spesso a stare fermi nella bugia incontrano la verità.,5
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4,v1,"quella guerra ben fatta l' opera perché etc. E dall'altra parte, Aiace era un cavaliere franco e prode all' arma, di gran guisa, ma non era pieno di grande saggezza.",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4,v1,"crudeli, e di tutte le colpe prende vendetta, come dice la legge, ed a nessun cavaliere perdona che pecchi.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4,v1,"Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4,v1,"Se questo ti piace a tutti e se il tempo ha bisogno di Pompeo come cavaliere e non come compagno, non riterò più i fati.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4,v1,"L'ufficio di questa arte sembra che sia detto appositamente per far credere, finché l'obiettivo è far credere per dire.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4,v1,Ecco e venti forti portano nebbie; e potresti credere che tutto il cielo cadesse nel mare.,3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4,v1,"Ma chi spererebbe che, anche se questi non vogliono ancora credere in Cristo, già lo vedono con noi, e perché non possono negarlo, lo stridono con i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4,v1,I vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4,v1,"Acciocché quel che ora per le sue grandi virtù è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4,v1,Gli uomini spesso a stare fermi nella bugia incontrano la verità.,5
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4,v2,"quella guerra ben fatta l' opera perché, e dall'altra parte, Aiace era un cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno.",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4,v2,"crudeli, e di tutte le colpe prende vendetta, come dice la legge, ed a nessun cavaliere perdona che pecca.",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4,v2,"Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4,v2,"Se questo ti piace a tutti e se il tempo ha bisogno di Pompeio per cavaliere e non per compagno, non riterrò più i fati.",2
